Reference, Quantity, Value, Footprint,MPN,"Price (1, no bulk adj)","Price (total, no bulk adj)",Link,,,,,
U3 ,1,W25Q128FW,Housings_SOIC:SOIJ-8_5.3x5.3mm_Pitch1.27mm,W25Q128FWSIG,2,2,http://www.digikey.com/product-detail/en/winbond-electronics/W25Q128FWSIG/W25Q128FWSIG-ND/4037423,,,,,
U4 ,1,SC189 - 3.3V,TO_SOT_Packages_SMD:SOT-23-5,SC189ZSKTRT,1.29,1.29,http://www.digikey.com/product-detail/en/semtech-corporation/SC189ZSKTRT/SC189ZSKCT-ND/2182343,,,,,
U5 ,1,SC189 - 1.0V,TO_SOT_Packages_SMD:SOT-23-5,SC189ASKTRT,1.15,1.15,http://www.digikey.com/product-detail/en/semtech-corporation/SC189ASKTRT/SC189ASKCT-ND/3083528,,,,,
U6 ,1,SC189 - 1.2V,TO_SOT_Packages_SMD:SOT-23-5,SC189CSKTRT,1.14,1.14,http://www.digikey.com/product-detail/en/semtech-corporation/SC189CSKTRT/SC189CSKCT-ND/2182352,,,,,
U7 ,1,SC189 - 1.8V,TO_SOT_Packages_SMD:SOT-23-5,SC189LSKTRT,1.14,1.14,http://www.digikey.com/product-detail/en/semtech-corporation/SC189LSKTRT/SC189LSKCT-ND/2182339,,,,,
U8 ,1,VL53L0X,DFTcustom:Optical_LGA12,VL53L0CXV0DH/1 ,6.28,6.28,http://www.digikey.com/product-detail/en/stmicroelectronics/VL53L0CXV0DH-1/497-16538-1-ND/6023692,,,,,
U9 ,1,MAX3421,TQFP32-5MM:TQFP32-5MM,MAX3421EEHJ+T ,10.06,10.06,http://www.digikey.com/product-detail/en/maxim-integrated/MAX3421EEHJ-T/MAX3421EEHJ-TCT-ND/4895460,,,,,
X1 ,1,FXO-HC73,DFTcustom:4-SMD,XLH736100.000000I ,1.3,1.3,http://www.digikey.com/product-detail/en/idt-integrated-device-technology-inc/XLH736100.000000I/631-1176-6-ND/2074762,,,,,
Y1 ,1,19.2MHz,DFTcustom:CX3225GB19200P0HPQCC,CX3225GB19200P0HPQCC,0.77,0.77,http://www.digikey.com/product-detail/en/avx-corp-kyocera-corp/CX3225GB19200P0HPQCC/1253-1189-1-ND/4454033,,,,,
Y2 Y3 Y4 ,3,12MHz,DFTcustom:ECS-120-20-3X-TR,ECS-120-20-3X-TR ,0.38,1.14,http://www.digikey.com/product-detail/en/ecs-inc/ECS-120-20-3X-TR/XC1770CT-ND/2676634,,,,,
,,,,,,215.2,,,,,,
